model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 A1,2016,10159,Manual,31461,Diesel,0,76.3,1.6,audi
 1 Series,2017,20998,Semi-Auto,24999,Petrol,200,39.8,3.0,bmw
 Q7,2019,43990,Semi-Auto,7500,Diesel,145,33.2,3.0,audi
 A Class,2015,11480,Manual,47552,Diesel,0,80.7,1.5,merc
 Focus,2020,19995,Manual,130,Petrol,145,58.9,1.0,ford
 Tucson,2017,14498,Semi-Auto,18701,Diesel,125,57.6,1.7,hyundi
 Fiesta,2019,16599,Semi-Auto,7885,Petrol,145,48.7,1.0,ford
 Tucson,2018,17995,Semi-Auto,31548,Petrol,150,39.8,1.6,hyundi
 Fabia,2018,9995,Manual,15290,Petrol,145,64.2,1.0,skoda
 A3,2016,13990,Manual,47743,Diesel,20,68.9,1.6,audi
 Kodiaq,2017,16995,Manual,18652,Petrol,150,46.3,1.4,skoda
 C-HR,2018,21995,Automatic,17929,Hybrid,140,74.3,1.8,toyota
 A Class,2016,17770,Automatic,19219,Diesel,20,67.3,2.1,merc
 1 Series,2017,20750,Semi-Auto,16977,Petrol,200,39.8,3.0,bmw
 Fiesta,2015,7790,Manual,35155,Petrol,0,65.7,1.0,ford
 A4,2017,16000,Manual,29063,Diesel,145,70.6,2.0,audi
 GLE Class,2017,27000,Automatic,16263,Diesel,265,42.8,3.0,merc
 1 Series,2017,13980,Manual,19484,Diesel,145,72.4,1.5,bmw
 Karoq,2019,29700,Automatic,9393,Diesel,145,41.5,2.0,skoda
 Focus,2018,13140,Manual,12583,Diesel,145,74.3,1.5,ford
 3 Series,2007,2550,Manual,103000,Diesel,205,49.6,2.0,bmw
 GLC Class,2016,26498,Automatic,30000,Diesel,125,56.5,2.1,merc
 Aygo,2018,8794,Manual,4075,Petrol,145,56.5,1.0,toyota
 Octavia,2017,10495,Manual,34221,Diesel,0,72.4,1.6,skoda
 Focus,2015,8250,Manual,64734,Diesel,0,74.3,1.5,ford
 Octavia,2017,15995,Semi-Auto,40442,Diesel,150,55.4,2.0,skoda
 Fiesta,2018,10999,Manual,5918,Petrol,145,55.4,1.1,ford
 C Class,2018,18750,Automatic,20512,Petrol,150,48.7,2.0,merc
 Fiesta,2017,9000,Manual,25653,Petrol,145,65.7,1.0,ford
 Yaris,2016,12295,Automatic,20775,Hybrid,0,78.0,1.5,toyota
 B Class,2019,21190,Automatic,14846,Petrol,145,45.6,1.3,merc
 C Class,2019,27066,Automatic,6655,Petrol,145,44.1,2.0,merc
 A3,2017,19995,Semi-Auto,12214,Petrol,145,57.7,1.5,audi
 Auris,2018,13395,Manual,9246,Petrol,150,51.4,1.2,toyota
 C Class,2019,25980,Semi-Auto,13624,Petrol,145,45.6,1.5,merc
 A1,2016,14959,Semi-Auto,13282,Petrol,30,56.5,1.4,audi
 2 Series,2016,19995,Automatic,53472,Petrol,200,39.8,3.0,bmw
 2 Series,2019,17950,Manual,3387,Petrol,145,42.2,1.5,bmw
 C Class,2019,27810,Automatic,6621,Diesel,145,61.4,2.0,merc
 C Class,2019,30890,Automatic,4390,Petrol,145,42.8,2.0,merc
 1 Series,2020,26495,Semi-Auto,10,Petrol,145,42.8,1.5,bmw
 Fiesta,2013,6950,Manual,54000,Petrol,0,65.7,1.0,ford
 5 Series,2019,26350,Semi-Auto,14345,Diesel,145,65.7,2.0,bmw
 Q3,2019,26250,Automatic,4694,Diesel,145,47.1,2.0,audi
 5 Series,2019,28800,Semi-Auto,5360,Diesel,145,65.7,2.0,bmw
 Focus,2016,9499,Manual,62664,Diesel,0,74.3,1.5,ford
 Superb,2016,13990,Semi-Auto,48558,Diesel,30,62.8,2.0,skoda
